商品ID,商品コード,商品名,親規格分類名,規格分類名,在庫数
11,0101180003,私のおやつ9個セット,,,89
12,0101180004,熏煙黄金豚ソーセージセット,,,96
36,0400190005,おおくぼのかりんとう一斗缶入り(黒ころも・ゴマ),,【お得】黒ころも・ゴマ2缶セット,99
36,0400190003,おおくぼのかりんとう一斗缶入り(黒ころも・ゴマ),,黒ころも・ゴマ1缶,99
171,nabe-01,ポイントテスト商品,,,
139,1500450005,手摘みアロニアのにごり酒,,,100
167,9900980003,カフェイン緑茶,,,99
15,0101180006,飲むヨーグルト&ラッシー(500ml×6本),,バナナ,100
15,0101180006,飲むヨーグルト&ラッシー(500ml×6本),,抹茶,100
15,0101180006,飲むヨーグルト&ラッシー(500ml×6本),,イチゴ,100
144,1001080002,生ピザ,,5枚セット(種類選べます),100
144,1001080001,生ピザ,,3枚セット(種類選べます),100
170,1002000003,こだわり卵の彩りセット,,,86
169,1002000002,たくさんのありがとうギフト,,,85
168,1002000001,こだわり卵のミニバーム&ラスクセット,,,100
166,1501990001,新潟5大ラーメン　おかもちセット,,,100
162,9900980001,六種の汁物ドラぷらパック,,,99
164,1501980003,おにぎり米,,2合　6個セット,99
164,1501980004,おにぎり米,,3合　3個セット,100
163,1501980001,ゆきまち米,,2合　6個セット,95
163,1501980002,ゆきまち米,,3合　3個セット,100
161,9900890002,有名シェフのレストランカレー,,6食セット,99
161,9900890001,有名シェフのレストランカレー,,5食セット,93
160,0100830001,海鮮づくし松前漬,,,98
159,1300730002,"HARE GINZAカレー",,【お得】8個セット,100
159,1300730001,"HARE GINZAカレー",,4個セット,100
158,8000570007,讃匠　塩ラーメン,,,100
46,0200760001,にんにくラーメン,,,100
114,1500370002,かんずり,,B,100
114,1500370001,かんずり,,A,100
114,1500370003,かんずり,,C,100
114,1500370004,かんずり,,D,100
114,1500370005,かんずり,,E,100
154,8000570002,半生国産小麦うどん　薫,,大,100
154,8000570001,半生国産小麦うどん　薫,,小,100
155,8000570003,麺ごのみ,,小,100
155,8000570004,麺ごのみ,,大,100
156,8000570005,半生讃岐醤油うどんセット,,,100
157,8000570006,讃匠　ラーメン5食セット,,,100
153,1300600006,たまて餅,,,98
152,1300600005,東京　チョコ大福,,バナナ,100
152,1300600004,東京　チョコ大福,,抹茶,100
152,1300600003,東京　チョコ大福,,イチゴ,100
151,1300600001,江戸祭人形焼,,9個入り×3箱セット,99
151,1300600002,江戸祭人形焼,,18個入り×1箱,100
150,0800400002,木内梅酒,,【お得】500ml×2本セット,100
150,0800400001,木内梅酒,,500ml,100
148,1000820007,手作りジェラート120ml12個入,,,100
149,1000820008,手作りジェラート500ml3個入,,,100
146,1000820002,飲むヨーグルト,,150ml10本入,99
146,1000820001,飲むヨーグルト,,ギフトセット(900ml×2本、150ml×8本),100
146,1000820003,飲むヨーグルト,,150ml15本入,100
146,1000820004,飲むヨーグルト,,150ml24本入,100
146,1000820005,飲むヨーグルト,,900ml3本入,100
146,1000820006,飲むヨーグルト,,900ml6本入,100
145,1000160001,焼きまんじゅう,,,100
142,1501330001,魚沼の水,,500ml×24本,100
142,1501330002,魚沼の水,,2L×6本,100
143,1500950002,雪の新潟どっこん水,,350ml×24本,100
143,1500950001,雪の新潟どっこん水,,500ml×24本,100
141,1500440001,雪蔵仕込み氷温熟成　魚沼産コシヒカリ　4kg,,,100
140,1500450006,手摘みアロニアセット,,,100
138,1500450004,手摘みアロニアのお酒,,,98
137,1500450003,越後杜氏　淡麗純米　720ml,,,100
136,1500450002,越後杜氏　大吟醸生酒　720ml,,,100
135,1500450001,越後杜氏　大吟醸　720ml,,,100
134,1501300001,大吟醸　越の雄町　720ml,,,100
133,1501000006,リキュール　白桃　コラーゲン入り,,,100
132,1501000005,リキュール　ルレクチェ,,,100
130,1501000004,本格焼酎　いいじゃないか人生どんまい,,"1,800ml",100
130,1501000003,本格焼酎　いいじゃないか人生どんまい,,720ml,100
129,1501000002,越乃柏露　超特撰大吟醸,,,100
128,1501000001,越乃柏露　純米大吟醸,,,100
127,1500640009,上善如水ギフトセット,,,100
126,1500640007,真吾の一本,,720ml,100
126,1500640008,真吾の一本,,"1,800ml",100
125,1500640006,熟成の上善如水,,"1,800ml",100
125,1500640005,熟成の上善如水,,720ml,100
124,1500640003,"上善如水 　純米吟醸",,720ml,100
124,1500640004,"上善如水 　純米吟醸",,"1,800ml",100
123,1500640001,"上善如水 　純米大吟醸",,720ml,100
123,1500640002,"上善如水 　純米大吟醸",,"1,800ml",100
112,1500490002,石打コシヒカリ5kg,,,100
116,1500920004,柿の種クランチホワイト,,16個入り×3セット,100
116,1500920003,柿の種クランチホワイト,,28個入り×2セット,100
23,0100740001,大吟醸雪氷室一夜雫,,,100
24,0100740002,"大吟醸　国士無双 木箱",,,100
26,0100740004,純米　風のささやき,,,100
27,0100740005,純米酒　ずZOOっと旭山,,,100
122,1500750001,越の初梅　伊乎乃(いおの),,,100
25,0100740003,純米大吟醸　国士無双あさひかわ,,,100
121,1500920028,いち井ラーメン3箱セット,,塩1箱、醤油2箱,100
121,1500920026,いち井ラーメン3箱セット,,醤油3箱,100
121,1500920027,いち井ラーメン3箱セット,,塩2箱、醤油1箱,100
121,1500920025,いち井ラーメン3箱セット,,塩3箱,100
120,1500920023,いち井ラーメン,,【お得】2箱セット(塩2箱),100
120,1500920020,いち井ラーメン,,塩1箱,100
120,1500920021,いち井ラーメン,,醤油1箱,100
120,1500920022,いち井ラーメン,,【お得】2箱セット(塩1箱・醤油1箱),100
120,1500920024,いち井ラーメン,,【お得】2箱セット(醤油2箱),100
119,1500920019,昆布入りぶつ切りたくあん,,【お得】2袋セット,100
119,1500920018,昆布入りぶつ切りたくあん,,1袋,100
118,1500920015,柿の種ふりかけ茶漬け10個セット,,わさび5個、かに5個,100
118,1500920014,柿の種ふりかけ茶漬け10個セット,,かに10個,100
118,1500920017,柿の種ふりかけ茶漬け10個セット,,わさび3個、かに7個,100
118,1500920016,柿の種ふりかけ茶漬け10個セット,,わさび7個、かに3個,100
118,1500920013,柿の種ふりかけ茶漬け10個セット,,わさび10個,100
117,1500920005,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび3個,100
117,1500920012,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび2個、かに3個,100
117,1500920011,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび3個、かに2個,100
117,1500920010,柿の種ふりかけ茶漬け(3個セット・5個セット),,かに5個,100
117,1500920008,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび1個、かに2個,100
117,1500920007,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび2個、かに1個,100
117,1500920006,柿の種ふりかけ茶漬け(3個セット・5個セット),,かに3個,100
117,1500920009,柿の種ふりかけ茶漬け(3個セット・5個セット),,わさび5個,100
115,1500920002,柿の種クランチ,,16個入り×3セット,99
115,1500920001,柿の種クランチ,,28個入り×2セット,100
113,1501380001,ヤスダヨーグルト詰め合わせギフト,,,98
111,1500490001,きねつき「幻の〆張もち」きりもち(10枚入り),,,99
8,0100270001,北海道鵡川の生干しししゃも,,♯1　5Lメス20尾、大オス10尾,100
8,0100270002,北海道鵡川の生干しししゃも,,♯2　5Lメス30尾,0
110,1501290002,日本海の塩　越後金色4袋セット,,,100
109,1501290001,日本海の塩　白いダイヤ,,360g入×2袋,100
109,1501290003,日本海の塩　白いダイヤ,,120g入×4袋,99
108,1501110001,村上茶　雪国紅茶(ティーバッグ缶),,,97
107,1500580007,天地米しおざわコシヒカリ　玄米10kg,,,100
106,1500580006,天地米しおざわコシヒカリ　玄米5kg,,,100
105,1500580002,天地米しおざわコシヒカリ(10kg),,,100
104,1500580003,天地米しおざわコシヒカリ(1・2・3・5kg),,1kg,100
104,1500580004,天地米しおざわコシヒカリ(1・2・3・5kg),,2kg,100
104,1500580005,天地米しおざわコシヒカリ(1・2・3・5kg),,3kg,100
104,1500580001,天地米しおざわコシヒカリ(1・2・3・5kg),,5kg,100
103,0600410002,いわし・さんまの佃煮3パックセット,,いわし×1、さんま×2,100
103,0600410001,いわし・さんまの佃煮3パックセット,,いわし×2、さんま×1,100
103,0600410004,いわし・さんまの佃煮3パックセット,,さんま×3,100
103,0600410003,いわし・さんまの佃煮3パックセット,,いわし×3,100
102,0700900003,人気漬物　Best3セット,,,100
101,0700900002,赤紫蘇ドリンク3本セット,,,100
100,0700900001,長久保のしそ巻,,150g×10,100
100,0700900004,長久保のしそ巻,,150g×3,100
99,0500110009,秋田のB級グルメセット,,,100
98,0500110008,神代カレー5箱セット,,,100
97,0500110006,稲庭うどんお徳用セット,,,100
96,0500110005,稲庭さくらうどんセット,,,100
95,0500110002,さくら茶,,,100
94,0500110001,秋田比内地鶏ラーメン(3食・メンマ付),,,100
93,0501960028,コケ丸くんハローキティ,,,100
91,0501960023,なまはげくん,,赤,100
91,0501960024,なまはげくん,,青・赤セット,100
91,0501960022,なまはげくん,,青,100
92,0501960027,ちび丸付プリザーブドフラワー,,L,100
92,0501960026,ちび丸付プリザーブドフラワー,,M,100
92,0501960025,ちび丸付プリザーブドフラワー,,S,100
90,0501960021,ペットセット,,,100
89,0501960020,縁起物セット,,,99
88,0501960019,コケ丸ペア,,,100
87,0501960018,コケ丸ファミリー,,,100
86,0501960017,コケらぶー,,,100
85,0501960016,コケちわ丸(グリーン),,,100
84,0501960015,コケちわ丸(イエロー),,,100
83,0501960014,コケちわ丸(ピンク),,,100
82,0501960013,コケ猫たま(グリーン),,,100
81,0501960012,コケ猫たま(イエロー),,,100
80,0501960011,コケ猫たま(ピンク),,,100
79,0501960010,コケうちゃぎ,,,100
78,0501960009,コケぽち,,,100
77,0501960008,コケクマめめ,,,100
76,0501960007,コケほーほ,,,100
75,0501960006,コケビッキー,,,100
70,0501960001,コケ丸くん,,,100
74,0501960005,コケばーば,,,100
73,0501960004,コケじーじ,,,100
72,0501960003,コケ丸くんママ,,,100
71,0501960002,コケ丸くんパパ,,,100
69,0501440002,湯沢まなぐ凧,,,100
68,0501440001,酒林(さかばやし),,,100
61,0701390006,手縒めん(細めん)180g5束,,,100
63,0701390008,よもぎめん(180g5束),,,100
64,0701390009,桜めん(180g5束),,,100
60,0701390005,手縒めん(太めん)180g5束,,,100
66,0701390012,手縒うどん(180g5束),,,100
62,0701390007,手縒そば(180g5束),,,100
58,0701390001,桜めん・よもぎめん詰合せ,,,100
59,0701390003,手縒めん詰合せ,,O-20,100
